Variable,Hour,WRF_RMSE,WRF_Bias,WRF_MAE,Pred_RMSE,Pred_Bias,Pred_MAE,WRF_PCC,Pred_PCC
T2M,1,2.0019412,-0.6660223,1.5459498,1.3359773,-0.22717181,1.0451078,,
T2M,2,2.542036,-0.920813,2.08407,1.5772521,-0.46684447,1.2471923,,
T2M,3,2.1678324,-0.899394,1.7045174,1.3481379,-0.32946646,1.0734314,,
T2M,4,2.0239406,-0.5254831,1.5610517,1.3252646,-0.13429897,1.0334635,,
T2M,5,2.7404473,-0.5940894,2.2713792,1.7107016,-0.36454764,1.3903137,,
T2M,6,2.11982,-0.57625,1.6513319,1.3569391,-0.076324776,1.0659348,,
T2M,7,2.1469982,-0.37309942,1.6504542,1.3722745,-0.1010931,1.0814962,,
T2M,8,2.401234,-0.17707282,1.9572694,1.4795109,-0.20974098,1.185423,,
T2M,9,2.286768,-0.43751037,1.7778459,1.5659367,-0.31661436,1.2478768,,
T2M,10,2.1765227,-0.14259315,1.6764587,1.3936023,-0.01570563,1.0940242,,
T2M,11,2.8279498,0.24812119,2.256036,1.7160522,0.070926905,1.3708187,,
T2M,12,2.2765322,-0.12531582,1.7614326,1.4754332,0.06680907,1.1598306,,
T2M,13,2.2323616,-0.17812589,1.7262398,1.4197583,-0.00061344175,1.1188569,,
T2M,14,2.3539824,-0.21483901,1.8712807,1.4695925,-0.15913203,1.1645663,,
T2M,15,2.353218,-0.07887277,1.8541635,1.5277127,0.02766298,1.2043797,,
T2M,16,2.2326028,0.039993197,1.7336487,1.4934176,0.029165743,1.1810379,,
T2M,17,3.0461335,0.53573865,2.434458,1.6930437,0.025377706,1.359412,,
T2M,18,2.3611937,0.04732756,1.8338181,1.5736618,0.12937059,1.2383493,,
T2M,19,2.254843,-0.2071619,1.746203,1.5352209,0.018799296,1.2098274,,
T2M,20,2.4260972,-0.32989395,1.918573,1.626975,-0.2515562,1.2961768,,
T2M,21,2.332611,-0.20870876,1.8136256,1.5840447,-0.116633296,1.2542776,,
T2M,22,2.2233624,-0.0077425367,1.7039354,1.5128363,0.05325128,1.1912163,,
T2M,23,2.6007905,-0.08422942,2.03203,1.651387,-0.10179249,1.3241286,,
T2M,24,2.2164733,-0.07716784,1.6956968,1.5215365,0.045728512,1.2073464,,
T2M,Avg,2.347737,-0.24805021,1.8442279,1.5110946,-0.100185156,1.197687,0.8924985982905963,0.9516858921289197
D2M,1,2.7282565,-2.0331962,2.14371,1.2960887,-0.26787758,1.0134146,,
D2M,2,3.0468018,-2.4350474,2.4942393,1.4467591,-0.5785811,1.1267947,,
D2M,3,2.9134214,-2.3068292,2.378616,1.3712643,-0.42530146,1.0783768,,
D2M,4,2.7951043,-2.1640391,2.2472413,1.3163174,-0.30389506,1.031062,,
